username,avg_click_interval,click_variability_std,inhibitory_failures,reflexive_fast_clicks,total_errors,perseverative_errors,total_mouse_distance,total_score
Simulated_Clone_57,1177.6123292254813,142.8798864955147,0,0,6,0,1204.6105015868184,8
Simulated_Clone_58,1295.6900258424655,192.95024563566278,0,0,5,0,8015.9142788858735,8
Simulated_Clone_59,1414.4693735418512,143.58060285283278,0,0,10,0,4009.767603643275,8
Simulated_Clone_60,1146.2782726543,186.6126835925872,0,0,5,1,1466.5733162831539,8
Simulated_Clone_61,1200.390552259038,294.72128747416417,1,0,8,0,4953.985395251684,8
Simulated_Clone_62,1030.6553337459866,221.80982024156384,0,0,3,0,10976.435101155532,8
Simulated_Clone_63,1014.0866557228991,149.32990081163584,1,0,1,0,11083.969824095393,8
Simulated_Clone_64,1384.4152422407662,241.79468031732546,0,0,8,0,2915.43638450637,8
Simulated_Clone_65,1484.6540340203428,144.3621694670076,0,0,6,0,451.7140040106033,8
Simulated_Clone_66,1221.342780086243,45.67277710387815,0,0,3,0,5708.505594039958,8
Simulated_Clone_67,1419.6291804674102,108.0352191842068,1,0,7,0,2151.417697791886,8
Simulated_Clone_68,1301.2894971373257,55.80373167665269,0,0,2,0,4989.917340843576,8
Simulated_Clone_69,1115.684666836615,147.7866419209468,2,0,2,0,1068.7857576190481,8
Simulated_Clone_70,1301.2451735499376,170.18372763198082,1,0,5,0,4464.371311545574,8
Simulated_Clone_71,1518.1699236206223,270.56651658807544,0,0,3,0,505.8800966455524,8
Simulated_Clone_72,1228.0136536210528,188.8620386424612,0,0,3,0,7941.937207839084,8
Simulated_Clone_73,1523.0751890316058,155.8034271788893,0,0,7,0,1332.8290841730259,8
Simulated_Clone_74,751.644042182854,219.28398548750536,0,0,4,2,5993.171503275542,8
Simulated_Clone_75,1386.1439211349389,35.19804509090383,1,0,3,0,1180.7991348684395,8
Simulated_Clone_76,1250.6664585006386,183.33361256720323,0,0,6,0,6440.443755004596,8
Simulated_Clone_77,1179.4937209623286,215.7397272006243,0,0,3,0,69.30530775308989,8
Simulated_Clone_78,1251.535474647648,79.54935890681381,1,0,4,0,4503.4262425215875,8
Simulated_Clone_79,868.1916267526674,238.31584012576616,0,1,4,0,7342.008031078694,8
Simulated_Clone_80,1194.1199544298365,189.56247206224634,0,0,2,0,2785.5810618795113,8
Simulated_Clone_81,1300.455556232421,143.92549473762347,0,0,6,0,303.17483357232095,8
Simulated_Clone_82,1507.082088055999,207.3796359650155,2,0,4,0,5381.182141517926,8
Simulated_Clone_83,1139.070563536059,306.54501346918033,2,0,8,0,397.8265127402078,8
Simulated_Clone_84,1085.5651721190989,180.0794853349031,0,0,6,0,2024.6913057463748,8
Simulated_Clone_85,1142.1149215102994,184.09682958619948,0,0,3,0,4519.391278083476,8
Simulated_Clone_86,1403.3814480659466,141.2571481175548,0,0,5,0,8599.121137872738,8
Simulated_Clone_87,1295.226855865836,117.61578976507295,1,0,2,0,3629.4410190337576,8
Simulated_Clone_88,1136.9522774027585,219.34030548363745,0,0,5,0,3615.673797723598,8
Simulated_Clone_89,1329.244163334527,117.23802927818835,0,0,3,0,6277.8042746873725,8
Simulated_Clone_90,1252.5156713701926,173.40150163299828,1,0,3,0,3718.1663968029793,8
Simulated_Clone_91,1413.1972689196339,140.14940537587125,2,0,4,0,5897.913150344373,8
Simulated_Clone_92,1105.1884740283458,198.06787392757587,1,0,7,0,7548.12489738516,8
Simulated_Clone_93,1174.2109416817393,189.26978497131012,1,0,5,0,2309.6894716638863,8
Simulated_Clone_94,1162.3297185011786,231.8852335348516,2,0,8,0,8669.065803759933,8
Simulated_Clone_95,964.8058697306412,138.19027101761134,1,0,7,0,483.70506403443324,8
Simulated_Clone_96,1289.2110571301437,152.72935098542905,1,0,3,0,8032.93506248747,8
Simulated_Clone_97,1282.7464959995775,109.81052091349001,0,0,2,0,3404.752659207696,8
Simulated_Clone_98,1235.5612320062933,142.16940047017394,0,1,5,0,2267.249472714858,8
Simulated_Clone_99,1191.3701896180953,191.91181937831976,2,0,2,1,7876.866375307498,8
Simulated_Clone_100,973.6817037515189,214.89958629699447,0,0,2,0,3153.0874537852305,8
Simulated_Clone_101,1157.0686247641656,113.23720337551315,1,0,5,0,4264.272568735501,8
Simulated_Clone_102,1171.435896707814,221.71786730722468,1,0,4,1,2076.8043666865883,8
Simulated_Clone_103,1086.7112112872098,251.14409432718458,2,1,7,0,5090.015145551115,8
Simulated_Clone_104,1204.883991288862,194.0995343667642,1,0,5,0,3281.355896730023,8
Simulated_Clone_105,1309.109067495337,282.6969842492709,2,0,8,0,8949.203438358578,8
Simulated_Clone_106,1582.354504926783,122.22045981017388,2,0,4,0,799.0622808495159,8
Simulated_Clone_107,1266.8035687360584,93.71246657053511,0,0,1,0,2377.621017538847,8
Simulated_Clone_108,1282.1003383700697,61.378101816210744,1,0,4,0,235.7058912638454,8
Simulated_Clone_109,1220.8937186796475,259.6448364035396,2,0,1,0,1591.2864734839814,8
Simulated_Clone_110,880.8751251363605,208.68640093499235,1,0,3,0,3516.917412399455,8
Simulated_Clone_111,1229.7304379603283,165.70330077312047,0,1,4,0,2093.8318065480007,8
Simulated_Clone_112,1245.7225202248073,186.01897699805943,0,0,5,0,3337.313960032355,8
Simulated_Clone_113,1688.7402067347862,100.92720981602318,0,0,5,0,3022.6884597777616,8
Simulated_Clone_114,1199.154978158218,317.1437602802506,0,0,5,0,11537.732051488481,8
Simulated_Clone_115,1290.21158729709,176.89215185188877,0,1,3,0,10360.358869401214,8
Simulated_Clone_116,1228.2190795922268,175.69178675385334,1,0,4,0,733.3866322940353,8
Simulated_Clone_117,1019.1618077327544,213.00928779307827,0,0,2,0,4083.2479011811915,8
Simulated_Clone_118,1445.3085774571432,198.19074190523733,0,1,4,0,3161.001568525191,8
Simulated_Clone_119,1373.2443955683268,182.62340131554342,0,0,2,0,4933.049222990756,8
Simulated_Clone_120,1380.4526455835799,121.21027076310796,0,0,9,0,325.177981614323,8
Simulated_Clone_121,1066.9644482503654,197.61310097340674,0,1,4,0,509.5996322972014,8
Simulated_Clone_122,1493.2367507554368,283.0135487128493,1,0,3,0,9425.632325906396,8
Simulated_Clone_123,976.1741828861223,250.52546898439294,1,0,5,1,2571.134600976719,8
Simulated_Clone_124,1342.8111045527762,265.5262026086179,0,0,3,0,5997.446562285522,8
Simulated_Clone_125,1638.44947030101,138.1176621797669,1,0,5,0,65.08860332622362,8
Simulated_Clone_126,1052.0038961361345,109.15415910665142,0,0,3,0,3318.42199083615,8
Simulated_Clone_127,1130.2162432826583,161.45298889550722,0,0,2,0,2277.64951766603,8
Simulated_Clone_128,1252.99017833924,172.4424074118342,0,0,3,0,1014.7259868997344,8
Simulated_Clone_129,1141.7980796082918,235.31513587479373,0,0,5,0,7834.085679039701,8
Simulated_Clone_130,948.7392330022074,66.6003459321198,0,0,8,0,1643.1146687093956,8
Simulated_Clone_131,1247.2587432492608,261.67341789910654,1,0,10,0,4648.256442700798,8
Simulated_Clone_132,1038.7729077965673,159.50220798576757,1,0,4,0,2207.6806886837207,8
Simulated_Clone_133,1321.9297060937831,143.22360086081656,2,0,4,0,5075.772254012216,8
Simulated_Clone_134,1065.1140742250027,107.79195024626952,0,0,2,0,2258.136642815546,8
Simulated_Clone_135,1520.3634012742307,68.87727511579618,0,0,6,0,6760.870009746859,8
Simulated_Clone_136,1090.2184590952868,218.90649497895592,0,0,4,0,30.084634272646326,8
Simulated_Clone_137,1175.2434702000855,173.50755804543024,2,0,6,0,7842.477408593528,8
Simulated_Clone_138,1384.598015163358,90.96945666645915,1,0,3,0,3423.236704238501,8
Simulated_Clone_139,1007.6971864614818,90.65960115937887,1,0,2,0,1418.2164191025136,8
Simulated_Clone_140,1276.5528817629704,148.73892253047825,0,0,1,0,6064.368178536923,8
Simulated_Clone_141,1475.6024929746404,270.11753656432955,0,0,3,0,2789.802126511869,8
Simulated_Clone_142,938.2639715747893,153.35195837231385,0,0,9,0,2831.261565894772,8
Simulated_Clone_143,1268.6574946766423,78.06260219915313,0,0,2,0,4768.990156230709,8
Simulated_Clone_144,1282.5303387428733,154.19038649364393,0,0,7,0,7280.152534583186,8
Simulated_Clone_145,1378.754866552688,152.55688379248403,1,0,2,0,8306.554231185311,8
Simulated_Clone_146,1006.5751028034819,5.788806953521572,0,0,5,0,2121.1468193837095,8
Simulated_Clone_147,991.1800098511133,165.78139044963604,1,0,2,0,4071.8460420663987,8
Simulated_Clone_148,1330.8433206712557,155.08695160595192,0,0,4,0,3718.7789676134435,8
Simulated_Clone_149,1289.3704166366197,211.21959698193538,0,0,9,0,9080.12478378841,8
Simulated_Clone_150,1280.7992148896121,281.01146158004906,0,1,9,0,511.41392602666156,8
Simulated_Clone_151,1298.48948149809,237.2751516896572,0,0,3,0,1799.646391830777,8
Simulated_Clone_152,1109.2496101896315,152.7890620028803,1,0,6,0,421.14941445355,8
Simulated_Clone_153,1277.4366566603715,102.0753105389385,0,0,5,0,1867.6368101928515,8
Simulated_Clone_154,1288.6491660417666,324.86962454710874,1,0,5,0,4453.549152035239,8
Simulated_Clone_155,1102.9211631146222,172.65391853943106,0,0,2,0,9495.452378468291,8
Simulated_Clone_156,1578.5914745415328,169.91194116941352,0,0,7,0,2791.162833168877,8
Simulated_Clone_157,1321.974042722269,167.60798394547123,1,1,6,0,245.41506603162043,8
Simulated_Clone_158,1014.9905929542822,181.0614155187617,1,0,2,0,4226.5909538139695,8
Simulated_Clone_159,1355.6603079739828,160.32847887166452,0,0,7,0,5725.025827913757,8
Simulated_Clone_160,1054.9268498378065,134.33692319937222,2,0,4,0,2948.067062981406,8
Simulated_Clone_161,1379.7249159809762,135.95968300495144,2,0,6,0,8758.774364146602,8
Simulated_Clone_162,1448.2164338967573,167.08560083722062,0,0,5,0,504.4357364644379,8
Simulated_Clone_163,1083.3180685911282,136.1676007591904,1,0,2,1,2461.5506949925766,8
Simulated_Clone_164,1412.2259051339897,125.91020664437316,2,0,3,0,4633.099490181608,8
Simulated_Clone_165,1310.7185374544354,175.51230056775793,0,0,5,0,4994.33983867825,8
Simulated_Clone_166,1386.1729864207323,153.6313156369068,1,0,4,0,3706.4555531854267,8
Simulated_Clone_167,1584.3100194528283,260.1260796265422,1,0,3,0,1231.6559641246054,8
Simulated_Clone_168,1189.3789275978356,8.568787217945754,1,0,3,0,12239.748954704757,8
Simulated_Clone_169,1095.6602173053557,235.15259592414753,1,0,3,0,2651.5274529011526,8
Simulated_Clone_170,1070.6282260390226,244.5113581369901,1,0,4,0,3941.280871481479,8
Simulated_Clone_171,1084.2162734469177,43.537657310119286,2,0,4,1,5827.997199245499,8
Simulated_Clone_172,1220.404098317588,148.32099495613915,0,0,3,0,1159.5109560366295,8
Simulated_Clone_173,1297.513071172028,146.58016222565075,0,0,3,1,3742.582358712715,8
Simulated_Clone_174,1285.6290514534562,83.85248326627432,1,0,10,0,1007.9575665883376,8
Simulated_Clone_175,1387.1174757312356,121.97662029858787,0,0,6,0,5078.477610228538,8
Simulated_Clone_176,1237.0155387138427,101.83011192548834,0,0,5,0,2502.328825168671,8
Simulated_Clone_177,1502.5911005285616,275.1577435324966,0,0,5,2,4531.5195641356,8
Simulated_Clone_178,1185.826559620605,225.7181467882428,1,0,5,0,367.88065882794444,8
Simulated_Clone_179,1736.1071086592467,246.05340316194236,1,1,3,0,442.7691686086755,8
Simulated_Clone_180,1349.9661373289841,212.76138752509192,1,0,6,0,1554.6955280588559,8
Simulated_Clone_181,1076.593517803361,100.71150892376049,0,0,3,0,883.7648289006383,8
Simulated_Clone_182,1037.1894851917941,137.31215157414755,1,0,5,0,6055.990549647933,8
Simulated_Clone_183,1323.5668141884692,198.6972108532734,1,0,4,2,2386.563221397474,8
Simulated_Clone_184,1193.4210670738055,95.07633066353284,0,0,6,0,1540.4540242986654,8
Simulated_Clone_185,1366.2511778177723,212.23625265421367,1,0,3,0,4092.679932045384,8
Simulated_Clone_186,1321.8642942827057,154.51839264882923,0,0,4,0,3696.694539262333,8
Simulated_Clone_187,1221.1918283044067,146.37552767479661,0,0,5,0,8213.219362543308,8
Simulated_Clone_188,1078.504188193041,212.11283639307487,0,0,5,0,13194.47596081985,8
Simulated_Clone_189,955.3422851441258,195.96600376509082,1,0,5,0,7767.923496552325,8
Simulated_Clone_190,1152.2993170000389,147.21434051893496,0,1,2,0,1842.677714062526,8
Simulated_Clone_191,1392.503634355614,239.25885604283593,0,0,4,0,1692.6207337752996,8
Simulated_Clone_192,1274.0886997192024,103.61691230115424,0,0,2,1,6766.345767447858,8
Simulated_Clone_193,1004.9549404245324,206.35969919323594,0,0,4,0,2740.0229357617413,8
Simulated_Clone_194,1266.5460395753285,204.97722062893536,0,0,5,0,2356.3801434914085,8
Simulated_Clone_195,1305.6553760383752,150.32748684732712,0,0,5,0,2643.395583751671,8
Simulated_Clone_196,1071.67114560876,188.81394557210888,1,0,2,1,5706.450119600127,8
Simulated_Clone_197,1262.9591774733838,93.32142176415076,0,0,3,0,5817.214107880841,8
Simulated_Clone_198,1245.3498393885293,225.0127281781265,1,0,11,0,756.9994961157236,8
Simulated_Clone_199,1023.9012696532819,157.87392826605867,0,0,2,0,1986.9674428097599,8
Simulated_Clone_200,1300.5799598564433,137.42096368618192,0,0,6,0,5188.566067405018,8
Simulated_Clone_201,1338.0043832490296,232.57962757900108,0,0,5,0,554.505086142397,8
Simulated_Clone_202,1434.2891300603312,126.424955724364,2,0,3,0,8023.385601142925,8
Simulated_Clone_203,1428.8967685087398,83.79499076139737,0,0,4,0,5799.7394559374625,8
Simulated_Clone_204,980.6323041673501,74.82434244957238,1,0,8,0,4169.41078863761,8
Simulated_Clone_205,1061.7217138483327,205.75876215245486,0,0,2,0,4986.80347787815,8
Simulated_Clone_206,1329.570080060202,91.54653288459146,0,0,7,0,1791.3351808914258,8
Simulated_Clone_207,1329.3397569333015,275.31054028907636,1,1,3,0,1197.558444113768,8
Simulated_Clone_208,1329.5723696367902,43.02066306323927,1,0,5,0,1948.4147852549077,8
Simulated_Clone_209,1944.90555035837,271.77854658057345,0,0,5,0,5392.931653994847,8
Simulated_Clone_210,1339.8675158414223,181.84441088435494,0,0,5,0,4279.320142032254,8
Simulated_Clone_211,1443.970649592187,163.2132281167782,0,0,7,0,1955.8937880674137,8
Simulated_Clone_212,1410.4976532584321,136.07712918973934,1,0,5,0,6322.761401292892,8
Simulated_Clone_213,1354.7085791881282,193.23383116097676,1,0,3,0,2882.5683629382092,8
Simulated_Clone_214,1176.4956888977267,166.79006031627344,1,0,3,0,947.9077909141183,8
Simulated_Clone_215,1374.541582503016,235.86671202562002,0,0,2,0,4477.96438401549,8
Simulated_Clone_216,1092.1409726276665,175.9843861682468,0,1,7,0,243.06213729984484,8
Simulated_Clone_217,1190.9587966630447,178.1684505234258,2,0,1,0,2754.4726296110152,8
Simulated_Clone_218,1145.1372155554072,147.05413877966984,1,0,5,0,3511.513496884658,8
Simulated_Clone_219,1249.7127807556385,165.62090350006122,1,0,7,0,1081.6259042796578,8
Simulated_Clone_220,1661.3474424087797,187.70410158925702,1,0,2,0,2583.789426009457,8
Simulated_Clone_221,890.3707414489372,65.5284926114773,2,1,6,0,70.60478893856543,8
Simulated_Clone_222,1361.1369937544166,87.44432204708339,0,0,5,0,8033.866806228349,8
Simulated_Clone_223,937.299286143553,214.06865135984796,0,0,2,1,1066.4315911409644,8
Simulated_Clone_224,1147.613471580961,179.4134539270294,0,0,6,0,1921.3069578024345,8
Simulated_Clone_225,1435.3767310273129,157.92955592731025,0,1,5,0,4938.164205318058,8
Simulated_Clone_226,1246.4691403645184,170.18466932293796,0,0,7,0,1597.4353969226545,8
Simulated_Clone_227,1035.9262034030887,190.11253064132106,1,0,3,0,1872.8490936458415,8
Simulated_Clone_228,1102.745599332043,136.38949933428466,0,0,3,0,4949.5985147806505,8
Simulated_Clone_229,1359.908710452923,121.94707262838308,0,0,2,0,1873.0740082848176,8
Simulated_Clone_230,1099.9686089009974,180.92582730528054,0,0,4,0,172.40963384766656,8
Simulated_Clone_231,1274.5246810640672,109.83418980095406,1,0,9,0,5778.126462573102,8
Simulated_Clone_232,1243.0201128105878,193.78578739477388,1,0,6,0,506.07563663878545,8
Simulated_Clone_233,1114.4899089932019,65.9877046264466,2,0,8,0,2507.9549580051544,8
Simulated_Clone_234,1629.8746341682224,231.3776156201651,1,0,4,0,192.39320788263603,8
Simulated_Clone_235,1351.4874105971003,197.6814625235248,1,0,1,0,4660.848471739487,8
Simulated_Clone_236,861.2645693999235,184.5696251866159,3,0,10,0,8492.585153598857,8
Simulated_Clone_237,1268.9931127856119,228.56446831460627,0,0,3,0,3401.947425245537,8
Simulated_Clone_238,1112.6120031638118,269.90278276451266,0,0,4,0,3950.184386362139,8
Simulated_Clone_239,1391.7725648574353,230.48244068885242,0,0,4,0,6721.3672188546325,8
Simulated_Clone_240,1088.509918856612,57.61506269989894,0,0,4,0,1960.500609496646,8
Simulated_Clone_241,1213.4657839843135,91.59813956905458,1,0,2,0,682.6665193937074,8
Simulated_Clone_242,1327.71763958988,131.23970931995837,2,0,4,0,5098.640533477523,8
Simulated_Clone_243,1394.2285740488949,170.64826039483987,0,1,6,0,7261.7425243560865,8
Simulated_Clone_244,1013.3326660360229,200.40965987667687,2,0,1,0,6847.7722445665495,8
Simulated_Clone_245,1172.9500917079456,125.12931069353974,1,0,2,0,4893.560660976467,8
Simulated_Clone_246,1147.0579147834674,180.37618086287725,0,0,1,0,3895.2623601982655,8
Simulated_Clone_247,1114.1711729029198,123.33484539033205,0,0,2,0,181.65727429792332,8
Simulated_Clone_248,1560.0964956939388,132.04498894215925,0,0,6,0,6753.613187348192,8
Simulated_Clone_249,1309.2806791506882,83.90398170499935,0,1,3,0,6547.661846547514,8
Simulated_Clone_250,1002.1627858541742,113.17254730922178,0,0,7,0,708.8012966972269,8
Simulated_Clone_251,1403.8349405800243,87.23246813344228,0,0,4,0,4888.235285110725,8
Simulated_Clone_252,1625.8578327382845,109.9855205542946,0,0,3,0,5962.333040195939,8
Simulated_Clone_253,1424.9631317295498,232.86010107948096,0,0,4,0,6816.450472928669,8
Simulated_Clone_254,954.5084755524308,111.58837951791782,1,0,4,0,3251.1878790088267,8
Simulated_Clone_255,1145.3454448132331,328.4430573411637,1,0,3,0,336.04210113301406,8
Simulated_Clone_256,1468.1854208430975,198.9359556735329,0,0,2,0,1660.1180281842373,8
Simulated_Clone_257,1104.1530434452375,180.25929250754984,0,0,5,0,221.532612453213,8
Simulated_Clone_258,1316.4407750280875,117.10035541496416,0,0,5,0,3340.3245443217083,8
Simulated_Clone_259,1377.4295407522259,211.4680394040367,0,0,5,1,2610.8666859194254,8
Simulated_Clone_260,1063.7302292681231,134.2172995608086,1,0,3,0,11520.906563865576,8
Simulated_Clone_261,1223.644463207656,176.45554817365962,1,0,9,0,6863.2497161652245,8
Simulated_Clone_262,637.0606134422219,324.06588938079767,0,0,6,0,7142.148013643606,8
Simulated_Clone_263,1045.763089848842,163.25277607106338,0,0,3,0,5286.342185230527,8
Simulated_Clone_264,1188.0552210176484,238.64999857077962,1,0,4,0,2162.2499530469704,8
Simulated_Clone_265,1004.5780355917194,126.49562642399198,0,0,4,0,2504.685629120452,8
Simulated_Clone_266,1535.5687878596045,166.95027207754433,1,0,6,0,2845.6051004209785,8
Simulated_Clone_267,970.9585990751343,276.27963203268393,2,0,6,0,4231.70757910073,8
Simulated_Clone_268,1153.4922077201563,131.1096321420946,0,0,5,0,4980.2071953018985,8
Simulated_Clone_269,1258.721764957264,278.8011560740804,0,0,3,0,3533.1679976142073,8
Simulated_Clone_270,1500.3307097376537,211.9186098568863,0,0,6,0,2448.033063990374,8
Simulated_Clone_271,969.903921104642,135.01472517554612,0,0,2,0,1317.4150318459538,8
Simulated_Clone_272,1449.0586192797196,207.35698488665315,1,0,4,0,1657.164637309796,8
Simulated_Clone_273,1236.505078886369,227.95076387193444,0,0,5,0,8311.186056298413,8
Simulated_Clone_274,1053.6682321647934,206.7153550629301,2,0,2,1,11746.246854100533,8
Simulated_Clone_275,1319.8116096886388,74.00121622681176,0,0,5,0,7998.1235688437955,8
Simulated_Clone_276,1271.3170324613618,125.0449512039153,1,0,8,0,1159.5601490695813,8
Simulated_Clone_277,1123.9629316520543,154.0828866260929,0,0,0,0,6462.20818129861,8
Simulated_Clone_278,1247.487184784012,164.56212507381238,0,0,5,0,7344.151160430442,8
Simulated_Clone_279,1163.5823584055363,206.64646439684634,1,1,5,0,2027.700779674932,8
Simulated_Clone_280,1255.5465012799505,179.827304966236,0,0,4,0,5351.809087876986,8
Simulated_Clone_281,1356.688492155781,88.22176899361163,0,0,4,1,1830.7745131862073,8
Simulated_Clone_282,1527.0155307475059,192.08723647817106,0,0,3,0,9225.872631498893,8
Simulated_Clone_283,1006.4156710686748,206.0357981669643,2,0,6,0,4891.55503298361,8
Simulated_Clone_284,1627.8631420213298,202.9604571606726,0,0,4,0,114.07384327888985,8
Simulated_Clone_285,874.7329016835906,234.50319533045501,0,0,2,1,6025.600199925383,8
Simulated_Clone_286,1206.6355186931053,219.5574360627056,0,0,8,0,7474.544364338031,8
Simulated_Clone_287,1343.0802899624532,196.8691217683366,0,0,4,0,4268.579581329768,8
Simulated_Clone_288,1286.4219935825788,164.82050897448562,0,0,7,0,5316.474902034125,8
Simulated_Clone_289,1119.8180465068267,68.50769983728799,1,0,3,0,3270.692973391627,8
Simulated_Clone_290,1196.2492379640155,195.07933402590803,0,0,5,0,694.7285406000078,8
Simulated_Clone_291,1143.7291919660502,181.6428133028641,0,0,5,0,2965.3117535663087,8
Simulated_Clone_292,1125.9636213640372,185.51102717055167,0,0,1,0,5478.879622812814,8
Simulated_Clone_293,1391.2505997320022,91.76938114095674,0,0,5,0,3053.6212198904664,8
Simulated_Clone_294,1300.437657605183,103.61732322361834,3,0,7,0,6513.423427607103,8
Simulated_Clone_295,1106.8741633915522,232.83049858906304,0,0,6,1,2069.6305085609324,8
Simulated_Clone_296,1400.4681571229462,166.67378886307557,0,0,2,0,2313.9595869912227,8
Simulated_Clone_297,1291.2720551323982,210.32925979596587,0,0,3,0,6626.495869353948,8
Simulated_Clone_298,1384.4772416311073,170.78311119977624,1,0,7,0,4356.941106151326,8
Simulated_Clone_299,1350.6964757744202,170.87015887672737,0,0,4,0,1996.8428631706176,8
Simulated_Clone_300,1081.785546081651,225.8758884164543,0,0,5,1,7381.510012248487,8
